thresh,helpers,weight,protein,COMBIND,GLIDE,COMBIND_GLIDE,GLIDE_COMBIND,2D_mean,SHAPE_mean
0.25,3,1.0,drd3,0.09365723535626999,0.08021388968902585,0.08588040610697263,0.08790437883093165,0.14829317504094855,0.05638101326534282
0.25,3,1.0,dyr,0.529086637311188,0.17945886010926906,0.2316327438673657,0.5575818504493866,0.16502816694019448,0.09902149068946108
0.25,3,1.0,egfr,0.13534886051487616,0.09766827838114153,0.09679343742609552,0.12890320256589066,0.05197092829892051,-0.009232013428552182
0.25,3,1.0,esr1,0.36765275018756705,0.31055837880080833,0.316022300650575,0.357884199097878,0.06075713026513531,0.29539190643908153
0.25,3,1.0,esr2,0.4660483038194162,0.3600054571520028,0.3340181355157312,0.43620863052482417,0.02349749905975999,0.20368516457214675
0.25,3,1.0,fa10,0.4312351271290593,0.41888001512530354,0.38513790584150853,0.37853893905971936,0.1674321528159582,0.0617877906637335
0.25,3,1.0,fgfr1,0.16884521941724856,0.11094402789875174,0.12590527840463145,0.1738757001672464,0.18695676334168831,0.08345880585646474
0.25,3,1.0,fnta,0.062451423416828876,0.14082435534589396,0.1117445836354719,0.02727292565850135,0.04651086869472566,-0.023472961587486678
0.25,3,1.0,gcr,0.1812521716095412,0.1308769666845502,0.1222547380590872,0.1550499529083038,0.12023380881792242,0.19722005375078117
0.25,3,1.0,grik1,0.18297911286934873,0.2291969438183334,0.1957218767237981,0.14174690300351722,0.19182005731059226,0.21031513921129996
0.25,3,1.0,hdac2,0.006843798835843989,0.03269728679447381,0.032067818496324396,0.006160825772831918,-0.013631413097098116,-0.09045653238892618
0.25,3,1.0,hdac8,0.179193440105528,0.24524339438705417,0.21966258051487328,0.15955185994146598,-6.362078322440234e-05,-0.07056477923605918
