thresh,helpers,weight,protein,COMBIND,GLIDE,COMBIND+2D,GLIDE+2D
0.25,0,10.0,hdac2,-0.005904754333664997,0.03269728679447381,-0.002034502575866848,0.035040383067904635
0.25,0,10.0,hdac8,0.13027028599725832,0.24524339438705417,0.1272466979197922,0.2322627307503676
0.25,0,10.0,hivpr,-0.013543412034113958,0.006577935953914471,-0.019320309944242255,-0.012402457628174861
0.25,0,10.0,hivrt,0.2850260894237817,0.24083561851292123,0.2814493367892345,0.24346756531574937
0.25,0,10.0,igf1r,0.25725360608607284,0.1876811245009119,0.26094952032367486,0.1834078201313444
0.25,0,10.0,jak2,0.38960381326045623,0.4012822231977041,0.3819006376088,0.36521809281124185
0.25,0,10.0,kit,0.2166422994826659,0.1626150560540746,0.22013510812952883,0.16456227196250964
0.25,0,10.0,kpcb,0.19867389218917425,0.17992358463500707,0.1792113005999243,0.13571154325750165
0.25,0,10.0,lck,0.28988351929752687,0.32988060852026724,0.2751811284545297,0.24502746962119976
0.25,0,10.0,mcr,0.3399857308510393,0.34982003106423315,0.3208020231253065,0.3477875180991729
0.25,0,10.0,met,0.19017993192111157,0.21015165731928642,0.18740796314431146,0.1998490687827167
0.25,0,10.0,mk01,0.15222991559684793,0.1035426011940493,0.14864854752640272,0.11048737497429442
0.25,0,10.0,mk10,0.23750310680927256,0.4218350248862661,0.23056556600469288,0.3324543229993418
0.25,0,10.0,mk14,0.38181034163351535,0.39464595348169706,0.3854917839547169,0.3987769260278031
0.25,0,10.0,mmp13,0.2823926439936906,0.1904158693752422,0.28814817836794415,0.2231830936250793
0.25,0,10.0,mp2k1,0.08046411852424198,0.12447412588556739,0.12485852820181358,0.09234392120578597
0.25,0,10.0,nos1,0.1907015015619801,0.18419258847876532,0.18742879829448855,0.1677775308062856
0.25,0,10.0,pa2ga,-0.010020424719984156,-0.03621654818816995,-0.025038733949774503,-0.06338239291255783
0.25,0,10.0,parp1,0.7252801114539257,0.7619005285698057,0.726036686696903,0.7646341536804921
0.25,0,10.0,pde5a,0.2396209335998553,0.16948542406730024,0.25414397859845705,0.1955359300154098
0.25,0,10.0,pgh1,0.091123396759436,0.09109308810384105,0.08537387754378958,0.07816081807729221
0.25,0,10.0,pgh2,0.08036549360079012,0.10585785377387018,0.08387836244278477,0.10929053449124967
0.25,0,10.0,plk1,0.339526657948793,0.38775703765756575,0.29703583059209837,0.2026161783254932
0.25,0,10.0,pparg,0.1335267919863407,0.09113084777639124,0.11843139277270945,0.056455109399679106
0.25,0,10.0,prgr,0.27318059153914287,0.28925285876662243,0.2640040169558655,0.26226134422545794
0.25,0,10.0,ptn1,0.22811156498343524,0.2774260096470322,0.22333914709409286,0.2777676529735294
0.25,0,10.0,rock1,0.47512490164743815,0.6637840871493917,0.4601262019374678,0.5941115160293244
0.25,0,10.0,src,0.08172682493690582,0.14910882197190117,0.07620589938503111,0.11683555329853416
0.25,0,10.0,thrb,0.3656722806752136,0.30712885340786605,0.38539060786866913,0.3144160319149828
0.25,0,10.0,try1,0.21356000919950047,0.15781410224468678,0.1929628180676477,0.11767641222279406
0.25,0,10.0,tysy,0.2805574756843895,0.3061151288453162,0.3130901450742235,0.3855847723919983
0.25,0,10.0,urok,0.48251833871458827,0.25144546838069537,0.48145664549119704,0.23845246221275854
0.25,0,10.0,vgfr2,0.056341437457719114,0.06898854310829591,0.05034808442898829,0.05565909125369104
0.25,0,15.0,aa2ar,0.3593936943116369,0.29524917239401616,0.35598058190339543,0.2954646443580232
0.25,0,15.0,abl1,0.2610541159553099,0.3061635082904245,0.26748342686510906,0.30319117280815744
